time,precipitation
2023-07-14 20:00:00,0.41
2023-07-14 21:00:00,0.24
2023-07-14 22:00:00,0
2023-07-14 23:00:00,0
2023-07-15 00:00:00,0
2023-07-15 01:00:00,0
2023-07-15 02:00:00,0
2023-07-15 03:00:00,0
2023-07-15 04:00:00,0
2023-07-15 05:00:00,0
2023-07-15 06:00:00,0
2023-07-15 07:00:00,0
2023-07-15 08:00:00,0
2023-07-15 09:00:00,0.16
2023-07-15 10:00:00,0.41
2023-07-15 11:00:00,0.34
2023-07-15 12:00:00,0.28
2023-07-15 13:00:00,0.25
2023-07-15 14:00:00,0.31
2023-07-15 15:00:00,0.19
2023-07-15 16:00:00,0
2023-07-15 17:00:00,0
2023-07-15 18:00:00,0
2023-07-15 19:00:00,0
2023-07-15 20:00:00,0
2023-07-15 21:00:00,0
2023-07-15 22:00:00,0
2023-07-15 23:00:00,0
2023-07-16 00:00:00,0
2023-07-16 01:00:00,0
2023-07-16 02:00:00,0
2023-07-16 03:00:00,0
2023-07-16 04:00:00,0
2023-07-16 05:00:00,0
2023-07-16 06:00:00,0
2023-07-16 07:00:00,0
2023-07-16 08:00:00,0
2023-07-16 09:00:00,0
2023-07-16 10:00:00,0
2023-07-16 11:00:00,0
2023-07-16 12:00:00,0
2023-07-16 13:00:00,0
2023-07-16 14:00:00,0
2023-07-16 15:00:00,0
2023-07-16 16:00:00,0
2023-07-16 17:00:00,0
2023-07-16 18:00:00,0
2023-07-16 19:00:00,0
